name,state,iata_code,lat,long
Medfra Airport,AK,MDR,63.106,-154.7194
Loring International Airport,ME,LIZ,46.9504,-67.8859
Matagorda Island Air Force Base,TX,MGI,28.323,-96.464
Hooker County Airport,NE,MHN,42.0422,-101.0591
Metro Field,AK,MTX,64.8068,-147.762
Monticello Airport,UT,MXC,37.9324,-109.3412
May Creek Airport,AK,MYK,61.3357,-142.687
Griswold Airport,CT,MPE,41.2712,-72.5497
Browns Airport,NE,EPG,40.8675,-96.11
Industrial Airpark,NM,HBB,32.7668,-103.209
NASA Crows Landing Airport,CA,NRC,37.408,-121.109
Yucca Airstrip,NV,UCC,36.9458,-116.038
Kneeland Airport,CA,NLN,40.7193,-123.928
Benton Field,CA,BZF,40.5749,-122.408
Sky Harbor Airport,IL,OBK,42.1439,-87.8556
Downtown Airpark,OK,DWN,35.4492,-97.533
Atka Airport,AK,AKB,52.2203,-174.206
Port Moller Airport,AK,PML,56.006,-160.561
Port Alexander Seaplane Base,AK,PTD,56.2468,-134.648
"Warren ""Bud"" Woods Palmer Municipal Airport",AK,PAQ,61.5949,-149.089
Casco Cove Coast Guard Station,AK,ATU,52.8284,173.18
Barter Island LRRS Airport,AK,BTI,70.134,-143.582
Bethel Airport,AK,BET,60.7798,-161.838
Beluga Airport,AK,BVU,61.1722,-151.044
Allen Army Airfield,AK,BIG,63.9945,-145.722
Buckland Airport,AK,BKC,65.9816,-161.149
Big Mountain Airport,AK,BMX,59.3612,-155.259
Wiley Post Will Rogers Memorial Airport,AK,BRW,71.2854,-156.766
Bettles Airport,AK,BTT,66.9139,-151.529
Cold Bay Airport,AK,CDB,55.2061,-162.725
Central Airport,AK,CEM,65.5738,-144.783
Chalkyitsik Airport,AK,CIK,66.645,-143.74
Chefornak Airport,AK,CYF,60.1367,-164.2792
Scammon Bay Airport,AK,SCM,61.8453,-165.571
Circle City /New/ Airport,AK,IRC,65.8305,-144.076
Merle K (Mudhole) Smith Airport,AK,CDV,60.4918,-145.478
Coldfoot Airport,AK,CXF,67.2522,-150.204
Yakataga Airport,AK,CYT,60.081,-142.4945
Cape Romanzof LRRS Airport,AK,CZF,61.7803,-166.039
Deering Airport,AK,DRG,66.0696,-162.766
Red Dog Airport,AK,RDB,68.0321,-162.899
Adak Airport,AK,ADK,51.878,-176.646
Dillingham Airport,AK,DLG,59.0447,-158.505
Marshall Don Hunter Sr Airport,AK,MLL,61.8643,-162.026
Kodiak Airport,AK,ADQ,57.75,-152.494
Unalaska Airport,AK,DUT,53.9001,-166.544
Kongiganak Airport,AK,KKH,59.9608,-162.881
Elmendorf Air Force Base,AK,EDF,61.251,-149.807
Eek Airport,AK,EEK,60.2137,-162.0439
Eagle Airport,AK,EAA,64.7764,-141.151
Cape Newenham LRRS Airport,AK,EHM,58.6464,-162.063
Eielson Air Force Base,AK,EIL,64.6657,-147.102
Elfin Cove Seaplane Base,AK,ELV,58.1952,-136.347
Emmonak Airport,AK,EMK,62.7861,-164.491
Kenai Municipal Airport,AK,ENA,60.5731,-151.245
Newtok Airport,AK,WWT,60.9391,-164.641
Fairbanks International Airport,AK,FAI,64.8151,-147.856
Ladd AAF Airfield,AK,FBK,64.8375,-147.614
Ambler Airport,AK,ABL,67.1063,-157.857
Bryant Army Heliport,AK,FRN,61.2664,-149.653
Nikolai Airport,AK,NIB,63.0186,-154.358
Five Mile Airport,AK,FMC,65.927,-149.84
Farewell Airport,AK,FWL,62.5093,-153.8923
Edward G. Pitka Sr Airport,AK,GAL,64.7362,-156.937
Galbraith Lake Airport,AK,GBH,68.4797,-149.49
Kwigillingok Airport,AK,KWK,59.8765,-163.169
Shungnak Airport,AK,SHG,66.8881,-157.162
Gulkana Airport,AK,GKN,62.1549,-145.457
Golovin Airport,AK,GLV,64.5505,-163.007
Gambell Airport,AK,GAM,63.7668,-171.733
Angoon Seaplane Base,AK,AGN,57.5036,-134.585
Big Lake Airport,AK,BGQ,61.5361,-149.814
Gustavus Airport,AK,GST,58.4253,-135.707
Nightmute Airport,AK,NME,60.471,-164.701
Skagway Airport,AK,SGY,59.4601,-135.316
Holy Cross Airport,AK,HCR,62.1883,-159.775
Huslia Airport,AK,HSL,65.6979,-156.351
Haines Airport,AK,HNS,59.2438,-135.524
Homer Airport,AK,HOM,59.6456,-151.477
Hooper Bay Airport,AK,HPB,61.5239,-166.147
Hughes Airport,AK,HUS,66.0411,-154.263
Shageluk Airport,AK,SHX,62.6923,-159.569
Hydaburg Seaplane Base,AK,HYG,55.2063,-132.828
Igiugig Airport,AK,IGG,59.324,-155.902
Egegik Airport,AK,EGX,58.1855,-157.375
Bob Baker Memorial Airport,AK,IAN,66.976,-160.437
Iliamna Airport,AK,ILI,59.7544,-154.911
Indian Mountain LRRS Airport,AK,UTO,65.9928,-153.704
McKinley National Park Airport,AK,MCL,63.7326,-148.911
Wales Airport,AK,WAA,65.6226,-168.095
Juneau International Airport,AK,JNU,58.355,-134.576
Koliganek Airport,AK,KGK,59.7266,-157.259
